id;assemblage;treatment;replicate;do_t0;do_t1;inc_time;dry_biomass
Degraded_1;Degraded;light;1;7.16;7.64;91;2.42
Degraded_3;Degraded;light;3;7.26;7.78;92;1.42
Degraded_4;Degraded;light;4;7.36;7.76;92;1.48
Degraded_5;Degraded;light;5;7.4;7.38;95;2.18
Degraded_6;Degraded;light;6;7.34;7.64;97;2.13
Degraded_1;Degraded;dark;1;7.33;5.59;91;2.42
Degraded_3;Degraded;dark;3;7.56;6.98;93;1.42
Degraded_4;Degraded;dark;4;7.69;6.72;95;1.48
Degraded_5;Degraded;dark;5;7.37;6.25;95;2.18
Degraded_6;Degraded;dark;6;7.54;6.23;95;2.13
Restored_forest_1;Restored_forest;light;1;7.12;8.75;94;12.58
Restored_forest_2;Restored_forest;light;2;6.7;8.06;95;16.43
Restored_forest_5;Restored_forest;light;5;7.26;8.95;98;9.55
Restored_forest_6;Restored_forest;light;6;7.8;10.37;100;20.13
Restored_forest_1;Restored_forest;dark;1;7.52;6.2;96;12.58
Restored_forest_2;Restored_forest;dark;2;7.2;6.01;93;16.43
Restored_forest_5;Restored_forest;dark;5;7.21;6.63;90;9.55
Restored_forest_6;Restored_forest;dark;6;5.93;4.21;88;20.13
Forest_2;Forest;light;2;7.04;9.66;99;13.07
Forest_3;Forest;light;3;7.19;10.1;103;11.45
Forest_4;Forest;light;4;7.17;9.23;102;12.26
Forest_5;Forest;light;5;7.68;9.73;104;22.6
Forest_6;Forest;light;6;7.24;9.21;103;12.42
Forest_2;Forest;dark;2;7.51;6.47;88;13.07
Forest_3;Forest;dark;3;7.47;6.6;90;11.45
Forest_4;Forest;dark;4;8.37;7.1;90;12.26
Forest_5;Forest;dark;5;8.29;6.11;90;22.6
Forest_6;Forest;dark;6;8.47;6.46;90;12.42
