id;assemblage;treatment;replicate;time;pH
Degraded_light_1;Degraded;light;1;0;8.17
Degraded_light_2;Degraded;light;2;0;8.17
Degraded_light_3;Degraded;light;3;0;8.2
Degraded_light_4;Degraded;light;4;0;8.2
Degraded_light_5;Degraded;light;5;0;8.2
Degraded_light_6;Degraded;light;6;0;8.2
Degraded_light_1;Degraded;light;1;1;8.2
Degraded_light_2;Degraded;light;2;1;8.23
Degraded_light_3;Degraded;light;3;1;8.21
Degraded_light_4;Degraded;light;4;1;8.22
Degraded_light_5;Degraded;light;5;1;8.24
Degraded_light_6;Degraded;light;6;1;8.24
Degraded_dark_1;Degraded;dark;1;0;8.22
Degraded_dark_2;Degraded;dark;2;0;8.23
Degraded_dark_3;Degraded;dark;3;0;8.23
Degraded_dark_4;Degraded;dark;4;0;8.23
Degraded_dark_5;Degraded;dark;5;0;8.23
Degraded_dark_6;Degraded;dark;6;0;8.21
Degraded_dark_1;Degraded;dark;1;1;8.18
Degraded_dark_2;Degraded;dark;2;1;8.17
Degraded_dark_3;Degraded;dark;3;1;8.2
Degraded_dark_4;Degraded;dark;4;1;8.19
Degraded_dark_5;Degraded;dark;5;1;8.18
Degraded_dark_6;Degraded;dark;6;1;8.15
Restored_forest_light_1;Restored_forest;light;1;0;8.22
Restored_forest_light_2;Restored_forest;light;2;0;8.22
Restored_forest_light_3;Restored_forest;light;3;0;8.22
Restored_forest_light_4;Restored_forest;light;4;0;8.22
Restored_forest_light_5;Restored_forest;light;5;0;8.23
Restored_forest_light_6;Restored_forest;light;6;0;8.23
Restored_forest_light_1;Restored_forest;light;1;1;8.32
Restored_forest_light_2;Restored_forest;light;2;1;8.24
Restored_forest_light_3;Restored_forest;light;3;1;8.27
Restored_forest_light_4;Restored_forest;light;4;1;8.28
Restored_forest_light_5;Restored_forest;light;5;1;8.31
Restored_forest_light_6;Restored_forest;light;6;1;8.46
Restored_forest_dark_1;Restored_forest;dark;1;0;8.26
Restored_forest_dark_2;Restored_forest;dark;2;0;8.26
Restored_forest_dark_3;Restored_forest;dark;3;0;8.24
Restored_forest_dark_4;Restored_forest;dark;4;0;8.24
Restored_forest_dark_5;Restored_forest;dark;5;0;8.29
Restored_forest_dark_6;Restored_forest;dark;6;0;8.26
Restored_forest_dark_1;Restored_forest;dark;1;1;8.21
Restored_forest_dark_2;Restored_forest;dark;2;1;8.21
Restored_forest_dark_3;Restored_forest;dark;3;1;8.14
Restored_forest_dark_4;Restored_forest;dark;4;1;8.15
Restored_forest_dark_5;Restored_forest;dark;5;1;8.23
Restored_forest_dark_6;Restored_forest;dark;6;1;8.22
Forest_light_1;Forest;light;1;0;8.2
Forest_light_2;Forest;light;2;0;8.23
Forest_light_3;Forest;light;3;0;8.22
Forest_light_4;Forest;light;4;0;8.21
Forest_light_5;Forest;light;5;0;8.21
Forest_light_6;Forest;light;6;0;8.2
Forest_light_1;Forest;light;1;1;8.35
Forest_light_2;Forest;light;2;1;8.31
Forest_light_3;Forest;light;3;1;8.33
Forest_light_4;Forest;light;4;1;8.32
Forest_light_5;Forest;light;5;1;8.36
Forest_light_6;Forest;light;6;1;8.26
Forest_dark_1;Forest;dark;1;0;8.24
Forest_dark_2;Forest;dark;2;0;8.24
Forest_dark_3;Forest;dark;3;0;8.23
Forest_dark_6;Forest;dark;6;0;8.23
Forest_dark_1;Forest;dark;1;1;8.18
Forest_dark_2;Forest;dark;2;1;8.18
Forest_dark_3;Forest;dark;3;1;8.2
Forest_dark_6;Forest;dark;6;1;8.18
